用户ID,评论文本,发布时间标签,IP属地,景色评分,趣味评分,性价比评分,赞同数,收藏数,出行类型,评论星级
198462391,我不明白为什么偌大的青秀山门票优惠政策就是不能落地，我的父亲80多岁了，网上买了优惠票，进园工作人员以没有带实体身份证为由，不予给予优惠，逼得我重新买一张成人票才能入园，一个看起来就是老年人的人不能享受老人优惠，出示证件照片还不行，说什么要拍印有公安机关那一面才行，有头像有身份证号码那一面都不算！难道为了省你这十块钱我还要制个假证开糊弄你？你看人家园博园，我出示证件照片就可以享受优惠政策了，也没见要出示原件的这种硬性要求，我想起之前被炒的很热的，医务工作者必须要带实体证明文件才能进青秀山这个，真的让人心寒……我爱人也是一名义务工作者，去年我们去了阳朔，出示证件照片一样也可以入园。从一个小小的优惠政策落地就可以看出青秀山景区管理欠缺人性化，在这个比拼服务质量的今天，不想着怎么提升自己的服务质量吸引顾客，老是盯着这十几二十的门票钱，怎么能使游客满意，怎么得到长足发展？,2021-06-11 发布点评,,0.0,0.0,0.0,12,0,,0
48819950,挺无语的…路过南宁说歇一脚，医护免票这个景区必须见原件才执行…原件带本人照片的照片，支付宝天使码什么都不认…不知道有几个单位原件是能自己拿在手里的…第一次遇到这种情况，不知道是不是外省的原因…景区所谓减免实在有点走形式主义了。景色很好。,2020-06-11 发布点评,,4.0,3.0,3.0,5,0,,0
14881692,最烦景区为了多挣钱折腾人，一进门有四人游览车租赁点，但是90一小时8公里时速，你不想租车想快速去其他门和景区得坐小火车还得往里走将近1公里，到了车站坐到南门终点站才1.3公里，为了省力气你得走一公里才能坐火车，我就想问问，火车站为什么不能直接设在门口？！就因为影响小车租赁吗,2026-03-01 发布点评,广西,5.0,3.0,1.0,0,0,家庭亲子,0
17235554,破景区，还是五A，观光车列出来几号线路线图从哪里到哪里这么多站，只要下车就得重新买票，说什么坐一次买一次，卖票的售票员也不告知，问她就说自己看，司机也不说，你们这么多站光坐车得多少钱！坑人的景区！你们不包回来总得包前进吧，只要下一次车票就作废了，太坑人了！差评,2024-11-22 发布点评,广西,1.0,1.0,1.0,4,1,陪同父母,0
56672069,"非常垃圾的一个公园，完全不明白怎么评出来的5A,这个公园没有历史，全部是新建的，到处是宽阔的沥青路，而大部分时间只能沿着这样的马路走，而且要忍受着不时从你身边缓慢行驶过的各类施工车辆。声音比拖拉机还大的汽油观光车，清扫车。少量的阶梯步道，修的宽敞气派，时不时还有小广场，把人和自然完美的分割开。逛这个公园给人的感觉就是，听着噪音，吸着尾气，压马路。",2019-06-22 发布点评,,1.0,0.0,0.0,6,0,,0
118236785,很普普通通的一个绿植公园，城市的人民公园。,2021-04-26 发布点评,,2.0,2.0,1.0,1,0,,0
15712901,服务特别差 工作人员管理差 外地朋友来景区不知如何浏览 咨询工作人员后 被告知需要出园 出去后又说在园区内 回来又不让进园区了 大大小小7人被来回折腾 体验感极差 园区景色挺好 希望加强对工作人员培训 服务好才是城市的形象啊,2026-03-02 发布点评,广西,1.0,1.0,1.0,0,0,家庭亲子,0
176699011,没有介绍，指引牌也不醒目，坐游览车一圈下来也没解说一下哪里，下车再上车后在买票，坐游览车回来后来还是看*音才发现走路过去自己想去的景点，浪费太多时间，路牌太不明显门口又没有线路图，哎作为广东第一次来广西失望,2025-09-17 发布点评,广西,1.0,1.0,1.0,1,0,家庭亲子,0
226899227,晚进去还要48门票进去才玩一个多小时，别人提早进入20元玩一天，太坑了。。而且晚上进去基本都是那些提早进去的人把能看表演的地方围得水泄不通，表演根本没法看到。。人挤人也不安全，真的人太多了。。以后绝对不去凑人热闹！这次体验很差很差,2025-02-05 发布点评,广西,1.0,1.0,1.0,1,0,其他出游,0
271210748,【性价比】不高，建议大家绝对不要乘坐景区的小火车，小火车奇慢无比，票价十元，速度慢。游览车速度快票价便宜，小火车的司机车技很菜，连个半坡起步都做不到，差评差评差评差评差评。,2024-02-15 发布点评,广西,1.0,1.0,1.0,0,0,,0
712233552,景区的导览图简直一坨* 工作人员*******你两个景区连接 又有路 上面未有任何标注 走了四十多分钟 显示未对游客开放？你耍猴呢？ 太多人工合成的假花 塑料感拉满 毫无体验 建议不要来了,2026-02-13 发布点评,广西,3.0,1.0,1.0,0,0,其他出游,0
752883806,大老远坐车，带着两个孩子，一个婴儿推车，一个平衡车，娃儿开开心心地走到门口，工作人员不给带平衡车进入，孩子哭了好久，也哄了好久，还是哄不好，我真是火大得很，我只想说这个规矩能不能改一下，这么小的车带进去有什么安全隐患吗，请告诉我？？？扫了孩子的兴不说，进到公园里又一直叫大人抱，我强烈抗议这个规定，要求撤掉，重新修改,2026-01-06 发布点评,广西,1.0,1.0,1.0,0,0,家庭亲子,0
53514007,名票虽然不贵，但是公园内部的景交车设计全是坑，有观光1、2号线，有小火车1、2线，分别开往不同的方向，得不停的打听才知道怎么坐。另外只要下车再上车就要钱，观光车5元，小火车10元，看似不贵但架不住点多啊，我玩了半天都想看看，花了60元。就不能设计成一次购票循环无限次使用的交通票吗？吃相太难看。,2025-03-31 发布点评,河北,5.0,1.0,1.0,2,0,朋友出游,0
